,S3P2_ES,,,z,S3P2,S3P2_ES,,,
1924,DISEÑO DE MODAS,,,3,5126,LICENCIADO EN EDUCACION FISICA,,,
864,DISEÑO DE MODAS Y CALZADO,,,3,5126,LICENCIATURA EN CIENCIAS SOCIALES,,,
704,DISEÑO EN ALTA COSTURA,,,3,5126,LICENCIATURA EN EDUCACION FISICA,,,
400,DISEÑO GARFICO,,,3,5128,LICENCIADA EN EDUCACION ESPÉCIAL,,,
1809,DISEÑO GRAFICO,,,3,5128,LICENCIADA EN EDUCACION INICIAL,,,
2093,DISEÑO GRAFICO,,,4,5211,LICENCIATURA EN ARTES PLASTICAS,,,
1765,DISEÑO GRAFICO,,,4,5212,DANZA CONTEMPORANEA,,,
91,DISEÑO GRAFICO,,,4,5212,LIC. EN CANTO GREGORIANO,,,
1193,DISEÑO GRAFICO,,,4,5212,LICENCIATURA EN DANSA CONTEMPORANEA,,,
250,DOCENCIA E INOVACION EDUCATIVA,,,3,5213,LICENCIADO EN DISEÑO GRAFICO,,,
2434,DOCENTE EN EDUCACION,,,4,5213,DISEÑO GRAFICO,,,
1302,DOCTORA,,,4,5213,DISEÑO GRAFICO,,,
2687,DOCTORADO EN CIENCIAS DE LA EDUCACION,,,4,5213,DISEÑO GRAFICO,,,
1605,DOCTORADO EN CIENCIAS SOCIALES Y HUMANIDADES,,,4,5213,DISEÑO GRAFICO,,,
1212,DOCTORADO EN EDUCACION,,,4,5213,LICENCIATURA EN DISEÑO GRAFICO,,,
457,DOCTORADO EN EDUCACION,,,4,5213,LICENCIATURA EN DISEÑO GRÁFICO,,,
552,DOCTORADO EN ESTUDIOS REGIONALES,,,4,5213,LICENCIATURA EN DISEÑO PARA LA COMUNICACION GRAFIC,,,
2800,DOCTORADO EN INVESTIGACION DE  SUELOS Y AGUA,,,1,5214,ARQUITECTURA DE INTERIORES,,,
405,DOS AÑOS DE  CARRERA DE PRIMEROS AUXILIO,,,1,5214,INGENIERIA EN DISEÑO TEXTIL Y MODA,,,
2164,ECONOMIA,,,2,5214,LICENCIADA EN DISEÑO DE MODAS,,,
2414,EDUCACION,,,3,5214,LICENCIADO EN DISEÑO,,,
1841,EDUCACION PREESCOLAR,,,3,5214,LICENCIADO EN DISEÑO,,,
1417,EDUCACION SECUNDARIA,,,4,5214,DISEÑO,,,
803,EDUCACIOON FISICA,,,4,5214,DISEÑO DE INTERIORES,,,
695,ELECTRONICA,,,4,5214,DISEÑO DE MODAS Y CALZADO,,,
2575,ELECTRONICA Y COMUNICASIONES,,,3,5221,LIC. EN TEOLOGIA CON  ENFASIS EN IDIOMAS,,,
212,ELETROMECANICA,,,5,5221,SACERDOTE,,,
2515,EMFERMERA DE REHABLITACION,,,3,5222,IDIOMAS,,,
320,EN ADMINISTRACION DE EMPRESAS,,,3,5222,IDIOMAS,,,
1138,EN CIENCIAS DE NUTRICION TRASNACIONAL,,,3,5222,IDIOMAS APLICADOS,,,
1831,EN CIENCIAS SOCIALES EN ESTUDIOS CULTURALES,,,3,5222,LENGUA INGLESA,,,
1204,EN GESTION DE SERVICIOS GASTRONOMICOS,,,3,5222,LENGUAS EXTRANJERAS,,,
1373,ENERGIA RENOVABLES,,,3,5222,LICENCIARURA EN INGLES,,,
